variable_id,attribute_name,attribute_value,precision
crs,grid_mapping_name,latitude_longitude,character
crs,longitude_of_prime_meridian,0,float
crs,semi_major_axis,6378137,float
crs,inverse_flattening,298.2572236,float
crs,crs_wkt,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]",character
